search URL:,https://patents.google.com/?q=%28%22aerospace%22%29+%28%22fast+switching%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9780639-B2,Protection from hard commutation events at power switches ,Infineon Technologies Austria Ag,Gerald Deboy,2015-01-19,2015-01-19,2017-10-03,2017-10-03,https://patents.google.com/patent/US9780639B2/en,https://patentimages.storage.googleapis.com/33/99/eb/ad114ef91101e6/US09780639-20171003-D00000.png
US-8378715-B2,Method to construct systems ,Monolithic 3D Inc.,"Zvi Or-Bach, Ze'ev Wurman",2009-04-14,2012-08-24,2013-02-19,2013-02-19,https://patents.google.com/patent/US8378715B2/en,https://patentimages.storage.googleapis.com/4f/9d/bd/55ed9ffdedd5f8/US08378715-20130219-D00000.png
US-8320090-B2,SSPC for parallel arc fault detection in DC power system ,Hamilton Sundstrand Corporation,"Gregory I. Rozman, Joshua C. Swenson",2010-06-08,2010-06-08,2012-11-27,2012-11-27,https://patents.google.com/patent/US8320090B2/en,https://patentimages.storage.googleapis.com/e3/73/f8/45c9900ff93f60/US08320090-20121127-D00000.png
US-9911731-B2,Operational gallium nitride devices ,Infineon Technologies Austria Ag,Gerald Deboy,2014-03-17,2016-08-08,2018-03-06,2018-03-06,https://patents.google.com/patent/US9911731B2/en,https://patentimages.storage.googleapis.com/06/2b/5c/147e4b7f200700/US09911731-20180306-D00000.png
US-8344544-B2,Bus-tie SSPCS for DC power distribution system ,Hamilton Sundstrand Corporation,"Gregory I. Rozman, Joshua C. Swenson",2010-05-19,2010-05-19,2013-01-01,2013-01-01,https://patents.google.com/patent/US8344544B2/en,https://patentimages.storage.googleapis.com/68/2e/ec/c116f101de4792/US08344544-20130101-D00000.png
US-9559602-B2,Magnetizing current based control of resonant converters ,Infineon Technologies Austria Ag,Gerald Deboy,2015-02-26,2015-02-26,2017-01-31,2017-01-31,https://patents.google.com/patent/US9559602B2/en,https://patentimages.storage.googleapis.com/35/59/38/897828b78cd69b/US09559602-20170131-D00000.png
US-8362800-B2,3D semiconductor device including field repairable logics ,Monolithic 3D Inc.,"Zvi Or-Bach, Ze'ev Wurman",2010-10-13,2010-10-13,2013-01-29,2013-01-29,https://patents.google.com/patent/US8362800B2/en,https://patentimages.storage.googleapis.com/ff/26/2b/3785da608abdae/US08362800-20130129-D00000.png
US-9887694-B2,Control circuit for solid state power controller ,Hs Elektronik Systeme Gmbh,Markus Greither,2015-01-14,2016-01-14,2018-02-06,2018-02-06,https://patents.google.com/patent/US9887694B2/en,https://patentimages.storage.googleapis.com/7e/5d/2a/d92c7d11475f67/US09887694-20180206-D00000.png
US-8427200-B2,3D semiconductor device ,Monolithic 3D Inc.,Zvi Or-Bach,2009-04-14,2010-11-07,2013-04-23,2013-04-23,https://patents.google.com/patent/US8427200B2/en,https://patentimages.storage.googleapis.com/be/cd/16/b9e31ca41b43d9/US08427200-20130423-D00000.png
US-9172301-B2,Synchronous rectification in the three-level inverter-converter topologies ,Hamilton Sundstrand Corporation,Vietson M. Nguyen,2013-05-07,2013-05-07,2015-10-27,2015-10-27,https://patents.google.com/patent/US9172301B2/en,https://patentimages.storage.googleapis.com/de/f3/9f/b9b24cdd5f2315/US09172301-20151027-D00000.png
US-9318408-B2,Semiconductor device and structure ,Monolithic 3D Inc.,"Zvi Or-Bach, Zeev Wurman",2013-03-12,2015-08-18,2016-04-19,2016-04-19,https://patents.google.com/patent/US9318408B2/en,https://patentimages.storage.googleapis.com/77/8c/7e/f552c7141bdab6/US09318408-20160419-D00000.png
US-10002865-B2,3D semiconductor structure and device ,Monolithic 3D Inc.,"Zvi Or-Bach, Zeev Wurman",2013-03-12,2017-04-08,2018-06-19,2018-06-19,https://patents.google.com/patent/US10002865B2/en,https://patentimages.storage.googleapis.com/1c/b4/5c/3e0e06325a2f0a/US10002865-20180619-D00000.png
US-9912279-B2,Circuit with current sharing alternately switched parallel transistors ,Hamilton Sundstrand Corporation,Huazhen Chai,2015-07-27,2015-07-27,2018-03-06,2018-03-06,https://patents.google.com/patent/US9912279B2/en,https://patentimages.storage.googleapis.com/1f/f5/9c/aa1ba07b314c5d/US09912279-20180306-D00000.png
US-8901247-B2,Responsive polymer system and nanohybrid thin films ,The Regents Of The University Of California,"Jennifer Lu, Shuhuai Xiang",2010-05-28,2011-05-27,2014-12-02,2014-12-02,https://patents.google.com/patent/US8901247B2/en,https://patentimages.storage.googleapis.com/6e/ec/56/34eb0116fc2f7f/US08901247-20141202-D00001.png
US-11277127-B1,Intelligent multi-level voltage gate driving system for semiconductor power devices ,"H. Alan Mantooth, Shuang Zhao, Audrey Dearien","H. Alan Mantooth, Shuang Zhao, Audrey Dearien",2019-05-15,2020-05-15,2022-03-15,2022-03-15,https://patents.google.com/patent/US11277127B1/en,https://patentimages.storage.googleapis.com/f6/c2/7c/5841f51a7b808b/US11277127-20220315-D00000.png
US-9728835-B2,Plasma-integrated switching devices ,The Boeing Company,"Tai A. Lam, Julio Navarro, Claudio G. Parazzoli, Benjamin E. Koltenbah",2014-11-20,2014-11-20,2017-08-08,2017-08-08,https://patents.google.com/patent/US9728835B2/en,https://patentimages.storage.googleapis.com/e2/95/34/be58666737b36f/US09728835-20170808-D00000.png
US-9761424-B1,"Filtered cathodic arc method, apparatus and applications thereof ","Nano-Product Engineering, LLC",Vladimir Gorokhovsky,2011-09-07,2014-09-10,2017-09-12,2017-09-12,https://patents.google.com/patent/US9761424B1/en,https://patentimages.storage.googleapis.com/60/b6/68/34e634a445c80a/US09761424-20170912-D00000.png
US-9269519-B2,Ultrananocrystalline diamond films with optimized dielectric properties for advanced RF MEMS capacitive switches ,"Uchicago Argonne, Llc","Anirudha V. Sumant, Orlando H. Auciello, Derrick C. Mancini",2010-04-07,2015-06-05,2016-02-23,2016-02-23,https://patents.google.com/patent/US9269519B2/en,https://patentimages.storage.googleapis.com/01/a3/f3/fe84468a411aa5/US09269519-20160223-D00000.png
US-9997225-B2,System and method for modular simulation of spin transfer torque magnetic random access memory devices ,Globalfoundries Singapore Pte. Ltd.,"Deepanjan DATTA, Bhagawan Sahu, Francis Benistant",2014-12-10,2015-12-09,2018-06-12,2018-06-12,https://patents.google.com/patent/US9997225B2/en,https://patentimages.storage.googleapis.com/01/42/1c/48a5057e80cb2d/US09997225-20180612-D00000.png
US-11127829-B2,Semiconductor device ,"Nanjing Sinnopower Technology Co., Ltd.",Xinjiang LYU,2017-08-29,2018-07-26,2021-09-21,2021-09-21,https://patents.google.com/patent/US11127829B2/en,https://patentimages.storage.googleapis.com/fc/94/f9/b9bf89a2e014e3/US11127829-20210921-D00000.png
