search URL:,https://patents.google.com/?q=%28%22aerospace%22%29+%28%22power+semiconductor%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8642416-B2,Method of forming three dimensional integrated circuit devices using layer transfer technique ,Monolithic 3D Inc.,"Zvi Or-Bach, Deepak Sekar, Brian Cronquist, Ze'ev Wurman",2010-07-30,2011-06-28,2014-02-04,2014-02-04,https://patents.google.com/patent/US8642416B2/en,https://patentimages.storage.googleapis.com/a8/16/d0/c3844bdbf22a8a/US08642416-20140204-D00000.png
US-11634034-B1,Rapid transistor switching in a converter with limited capacitance ,Rolls-Royce Deutschland Ltd & Co Kg,"Uwe Waltrich, Stanley BUCHERT",2022-05-31,2022-08-31,2023-04-25,2023-04-25,https://patents.google.com/patent/US11634034B1/en,https://patentimages.storage.googleapis.com/18/ad/24/aa503ce8f5cc06/US11634034-20230425-D00000.png
US-8564020-B2,Transistors and rectifiers utilizing hybrid electrodes and methods of fabricating the same ,The Hong Kong University Of Science And Technology,"Jing Chen, Chunhua ZHOU",2009-07-27,2010-07-26,2013-10-22,2013-10-22,https://patents.google.com/patent/US8564020B2/en,https://patentimages.storage.googleapis.com/bf/46/d1/0168efb27e13e9/US08564020-20131022-D00000.png
US-7468569-B2,Stator coil arrangement for an axial airgap electric device including low-loss materials ,"Light Engineering, Inc.",Andrew D. Hirzel,2003-11-03,2007-03-12,2008-12-23,2008-12-23,https://patents.google.com/patent/US7468569B2/en,https://patentimages.storage.googleapis.com/63/74/7e/5b56b2d2515e3c/US07468569-20081223-D00000.png
US-10099928-B2,Scalable multiple-inverse diffusion flame burner for synthesis and processing of carbon-based and other nanostructured materials and films and fuels ,"Rutgers, The State University Of New Jersey","Stephen D. Tse, Nasir K. Memon, Bernard H. Kear",2011-02-25,2016-05-12,2018-10-16,2018-10-16,https://patents.google.com/patent/US10099928B2/en,https://patentimages.storage.googleapis.com/c5/4f/f9/cf95daa1637724/US10099928-20181016-D00000.png
US-7230361-B2,Efficient high-speed electric device using low-loss materials ,"Light Engineering, Inc.",Andrew D. Hirzel,2003-01-31,2006-05-25,2007-06-12,2007-06-12,https://patents.google.com/patent/US7230361B2/en,https://patentimages.storage.googleapis.com/85/7c/4b/abfef5c45520d8/US07230361-20070612-D00000.png
US-9412926-B2,High power solid-state lamp ,"Cree, Inc.","Bernd Keller, James Ibbetson",2005-06-10,2005-06-10,2016-08-09,2016-08-09,https://patents.google.com/patent/US9412926B2/en,https://patentimages.storage.googleapis.com/21/51/19/ec363fe415a242/US09412926-20160809-D00000.png
US-8076699-B2,"Integrated HEMT and lateral field-effect rectifier combinations, methods, and systems ",The Hong Kong Univ. Of Science And Technology,"Jing Chen, Wanjun CHEN, Chunhua ZHOU",2008-04-02,2009-03-31,2011-12-13,2011-12-13,https://patents.google.com/patent/US8076699B2/en,https://patentimages.storage.googleapis.com/91/71/5b/6c269f63b34150/US08076699-20111213-D00000.png
US-7557434-B2,Power electronic package having two substrates with multiple electronic components ,"Denso Corporation, University Of Cambridge, The University Of Sheffield","Rajesh Kumar Malhan, C. Mark Johnson, Jeremy Rashid",2006-08-29,2006-08-29,2009-07-07,2009-07-07,https://patents.google.com/patent/US7557434B2/en,https://patentimages.storage.googleapis.com/d3/17/c0/b148a15e3d1f81/US07557434-20090707-D00000.png
US-9029173-B2,Method for fabrication of a semiconductor device and structure ,Monolithic 3D Inc.,"Zvi Or-Bach, Deepak C. Sekar, Brian Cronquist, Ze'ev Wurman",2011-10-18,2011-10-18,2015-05-12,2015-05-12,https://patents.google.com/patent/US9029173B2/en,https://patentimages.storage.googleapis.com/fb/7c/ea/7585ce4a7ba312/US09029173-20150512-D00000.png
US-11764647-B1,Voltage ramping in an electrical power system including a power-dense inverter ,Rolls-Royce Deutschland Ltd & Co Kg,"Uwe Waltrich, Stanley BUCHERT, Marco Bohlländer, Claus Müller",2022-05-31,2022-08-31,2023-09-19,2023-09-19,https://patents.google.com/patent/US11764647B1/en,https://patentimages.storage.googleapis.com/b4/ac/cc/3e01e9ed777357/US11764647-20230919-D00000.png
US-11251106-B2,Packaging structure of a SiC MOSFET power module and manufacturing method thereof ,Beijing University Of Technology,"Fei Qin, Shuai ZHAO, Yanwei Dai, Pei Chen, Tong An",2019-11-09,2021-03-31,2022-02-15,2022-02-15,https://patents.google.com/patent/US11251106B2/en,https://patentimages.storage.googleapis.com/3d/73/4b/759b4dca8e3394/US11251106-20220215-D00000.png
US-11811276-B1,Thermal interface materials ,Rolls-Royce Deutschland Ltd & Co Kg,"Uwe Waltrich, Stanley BUCHERT",2022-05-31,2022-08-31,2023-11-07,2023-11-07,https://patents.google.com/patent/US11811276B1/en,https://patentimages.storage.googleapis.com/75/7c/87/80de9e12c154d7/US11811276-20231107-D00000.png
US-11248966-B2,Health monitoring and failure prognosis of power electronics devices ,Rolls-Royce Plc,"Mohamed H. M. SATHIK, Rejeki SIMANJORANG, Chandana J. GAJANAYAKE, Sundararajan PRASANTH, Amit K. Gupta",2018-06-18,2019-06-11,2022-02-15,2022-02-15,https://patents.google.com/patent/US11248966B2/en,https://patentimages.storage.googleapis.com/06/55/fd/cf2877a4c70641/US11248966-20220215-D00000.png
US-10256325-B2,Radiation-hardened power semiconductor devices and methods of forming them ,Infineon Technologies Austria Ag,"Stefan Gamerith, Markus Schmitt, Winfried Kaindl, Gerald Sölkner",2012-11-08,2012-11-08,2019-04-09,2019-04-09,https://patents.google.com/patent/US10256325B2/en,https://patentimages.storage.googleapis.com/ad/4a/cb/5cb69f2ea061a1/US10256325-20190409-D00000.png
US-7777370-B2,Integrated gate drive for use in control and protection of power modules ,Honeywell International Inc.,"Hassan Ali Kojori, Robert D. Paton, Andrew Eftychiou",2007-05-03,2008-02-04,2010-08-17,2010-08-17,https://patents.google.com/patent/US7777370B2/en,https://patentimages.storage.googleapis.com/f9/d6/42/32fb4bf9c47da4/US07777370-20100817-D00000.png
US-7557432-B2,Thermally enhanced power semiconductor package system ,Stats Chippac Ltd.,"Wai Kwong Tang, You Yang Ong, Kuan Ming Kan, Larry Lewellen",2005-03-30,2006-01-31,2009-07-07,2009-07-07,https://patents.google.com/patent/US7557432B2/en,https://patentimages.storage.googleapis.com/ca/51/1f/8f493318d44ce4/US07557432-20090707-D00000.png
