search URL:,https://patents.google.com/?q=%28%22fast+switching%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7367723-B2,Fast switching camera aperture ,"Mitsubishi Electric Research Laboratories, Inc.","Wojciech Matusik, William S. Yerazunis",2005-07-29,2005-07-29,2008-05-06,2008-05-06,https://patents.google.com/patent/US7367723B2/en,https://patentimages.storage.googleapis.com/22/ad/c1/e32cebec1b9274/US07367723-20080506-D00000.png
US-10644537-B2,Fast switching back-up power supply system employing rechargeable electrochemical cells ,"Nantenergy, Inc.","Ramkumar Krishnan, Javier Eduardo Banuelos Solis",2017-04-09,2018-04-09,2020-05-05,2020-05-05,https://patents.google.com/patent/US10644537B2/en,https://patentimages.storage.googleapis.com/23/9f/55/7661e1adf27eb0/US10644537-20200505-D00000.png
US-8769256-B2,Fast switching between multiple operating systems using standby state ,"Via Technologies, Inc.","Chin-Hwaun Wu, Chung-Ching Huang, Kuo-Han Chang, Tai-Yu Lin",2011-01-26,2011-05-18,2014-07-01,2014-07-01,https://patents.google.com/patent/US8769256B2/en,https://patentimages.storage.googleapis.com/0b/3b/15/930ea75f551bca/US08769256-20140701-D00000.png
US-11258439-B2,High-voltage fast switching devices ,Visic Technologies Ltd.,"David Shapiro, Ilia Bunin, Oleg Dubinsky",2017-09-07,2018-09-06,2022-02-22,2022-02-22,https://patents.google.com/patent/US11258439B2/en,https://patentimages.storage.googleapis.com/53/be/d9/4cebc5daab223b/US11258439-20220222-D00000.png
US-4532436-A,Fast switching circuit ,Rca Corporation,Otto H. Bismarck,1983-09-30,1983-09-30,1985-07-30,1985-07-30,https://patents.google.com/patent/US4532436A/en,https://patentimages.storage.googleapis.com/af/00/9c/67fe2d6fa8827f/US4532436-drawings-page-2.png
US-8237376-B2,"Fast switching, overshoot-free, current source and method ",Stmicroelectronics S.R.L.,Pasquale Franco,2009-03-20,2010-03-19,2012-08-07,2012-08-07,https://patents.google.com/patent/US8237376B2/en,https://patentimages.storage.googleapis.com/e5/4c/db/2cc5300d9cde59/US08237376-20120807-D00000.png
US-8375150-B2,Fast HDMI switching with conditional reset mechanism ,Nxp B.V.,"Nicolas Guillerm, Guillaume Bertrand",2009-07-21,2010-07-19,2013-02-12,2013-02-12,https://patents.google.com/patent/US8375150B2/en,https://patentimages.storage.googleapis.com/61/32/34/687c65c81d4a16/US08375150-20130212-D00000.png
US-7870062-B2,Coordination of algorithms in algorithmic trading engine with fast switching and safe mode ,"Pipeline Financial Group, Inc.","Henri Waelbroeck, Brent Gamse",2006-04-28,2008-05-16,2011-01-11,2011-01-11,https://patents.google.com/patent/US7870062B2/en,https://patentimages.storage.googleapis.com/62/ef/0b/d4da54e93b3f37/US07870062-20110111-D00000.png
US-RE43716-E,Method of fast switching control for different operation systems operated in computer ,Getac Technology Corp.,Szu-Chung Wang,2005-09-07,2011-06-13,2012-10-02,2012-10-02,https://patents.google.com/patent/USRE43716E1/en,https://patentimages.storage.googleapis.com/f4/0f/e6/fd9772481300b7/USRE043716-20121002-D00000.png
US-10243039-B2,Super-junction semiconductor power devices with fast switching capability ,General Electric Company,"Alexander Viktorovich Bolotnikov, Peter Almern Losee, David Alan Lilienfeld, Reza Ghandi",2016-03-22,2016-03-22,2019-03-26,2019-03-26,https://patents.google.com/patent/US10243039B2/en,https://patentimages.storage.googleapis.com/2a/20/7b/521f3dfa229b63/US10243039-20190326-D00000.png
US-9374757-B2,Method and apparatus for one cell operation with fast small cell switching in wireless communication system ,"Samsung Electronics Co., Ltd.","Heekwang LEE, Eunseok KO, June Moon, Seungjoo MAENG, Jungah CHOI",2012-12-27,2013-12-27,2016-06-21,2016-06-21,https://patents.google.com/patent/US9374757B2/en,https://patentimages.storage.googleapis.com/93/40/4c/bf8a443ab72f1e/US09374757-20160621-D00000.png
US-7950042-B2,Fast switching between time division multiplexed (TDM) channels ,"Newport Media, Inc.",Nabil Yousef,2005-12-16,2005-12-16,2011-05-24,2011-05-24,https://patents.google.com/patent/US7950042B2/en,https://patentimages.storage.googleapis.com/b5/12/af/443a3a25610631/US07950042-20110524-D00000.png
US-8116031-B2,Perpendicular magnetic recording system with helical write coil and auxiliary coil for fast switching of write pole magnetization ,Hitachi Global Storage Technologies Netherlands B.V.,"Michael Alex, John Thomas Contreras, Manfred Ernst Schabes, Xinzhi Xing",2009-04-06,2009-04-06,2012-02-14,2012-02-14,https://patents.google.com/patent/US8116031B2/en,https://patentimages.storage.googleapis.com/c4/94/2d/8b9f9009403578/US08116031-20120214-D00000.png
US-7898345-B2,Method of frequency synthesis for fast switching ,"Orca Systems, Inc.",Kartik M. Sridharan,2005-12-29,2008-12-12,2011-03-01,2011-03-01,https://patents.google.com/patent/US7898345B2/en,https://patentimages.storage.googleapis.com/0a/9c/31/96890655786908/US07898345-20110301-D00000.png
