search URL:,https://patents.google.com/?q=%28%22heat+switch%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5666018-A,Cathode with fast heat switch-on and switch-off mechanism and grid-type electron tube including such a cathode ,Thomson Tubes Electroniques,"Michel Langlois, Robert Frossard",1993-07-27,1996-06-14,1997-09-09,1997-09-09,https://patents.google.com/patent/US5666018A/en,https://patentimages.storage.googleapis.com/84/18/9d/71a10aa94c8d57/US5666018-drawings-page-2.png
US-4134092-A,Heat activatable electrical switch ,General Electric Company,"Raymond G. Lavigne, Gunnar E. Walmet",1977-10-28,1977-10-28,1979-01-09,1979-01-09,https://patents.google.com/patent/US4134092A/en,https://patentimages.storage.googleapis.com/7c/94/7d/9bed329941ae52/US4134092-drawings-page-2.png
US-5403182-A,Control system for gas fired heating apparatus using double-throw radiant heat sensing switch ,Emerson Electric Co.,"Bartholomew L. Toth, William P. Butler",1994-06-06,1994-06-06,1995-04-04,1995-04-04,https://patents.google.com/patent/US5403182A/en,https://patentimages.storage.googleapis.com/5a/7f/10/ebefa58d57af9f/US5403182-drawings-page-2.png
US-11095193-B2,Electronic power module for a power tool having an integrated heat sink ,Black & Decker Inc.,"Eric W. WACHTER, Erik A. Ekstrom, Alpay Hizal",2017-05-24,2019-12-06,2021-08-17,2021-08-17,https://patents.google.com/patent/US11095193B2/en,https://patentimages.storage.googleapis.com/c9/b8/97/adf1252fc4c9b4/US11095193-20210817-D00000.png
US-9810454-B2,Magnetic structure and magnetic air-conditioning and heating device using same ,"Nissan Motor Co., Ltd.","Yutaka Tasaki, Hidekazu Takahashi",2011-09-14,2012-09-07,2017-11-07,2017-11-07,https://patents.google.com/patent/US9810454B2/en,https://patentimages.storage.googleapis.com/24/e8/bb/5e0f02dcb45f86/US09810454-20171107-D00000.png
US-10544965-B2,Magnetocaloric refrigerator ,Jan Vetrovec,Jan Vetrovec,2016-08-15,2017-08-15,2020-01-28,2020-01-28,https://patents.google.com/patent/US10544965B2/en,https://patentimages.storage.googleapis.com/b0/e3/8c/c5394b5126a7a8/US10544965-20200128-D00000.png
US-10859293-B2,"Mechanical vibration-isolated, liquid helium consumption-free and extremely low temperature refrigerating system ",Fudan University,"Shiwei Wu, Shengyu Zhou, Shuai Zhang, Di Huang, Lifeng YIN, Chunlei Gao, Jian Shen",2016-01-06,2016-11-29,2020-12-08,2020-12-08,https://patents.google.com/patent/US10859293B2/en,https://patentimages.storage.googleapis.com/f3/83/0c/1f55c4ab4b67c9/US10859293-20201208-D00000.png
US-10321718-B2,"Electronic cigarette temperature control system and method, and electronic cigarette with the same ",Joyetech Europe Holding Gmbh,Wei-Hua Qiu,2015-01-22,2017-06-15,2019-06-18,2019-06-18,https://patents.google.com/patent/US10321718B2/en,https://patentimages.storage.googleapis.com/53/e9/78/13adaae85d3fd0/US10321718-20190618-D00000.png
US-8550905-B2,Temperature feedback motion controller ,Sony Computer Entertainment Inc.,Anton Mikhailov,2011-04-11,2011-04-11,2013-10-08,2013-10-08,https://patents.google.com/patent/US8550905B2/en,https://patentimages.storage.googleapis.com/f2/45/1b/19e9722a62b716/US08550905-20131008-D00000.png
US-10709601-B2,Personal cooling and heating device ,John Adair,John Adair,2016-09-02,2017-09-05,2020-07-14,2020-07-14,https://patents.google.com/patent/US10709601B2/en,https://patentimages.storage.googleapis.com/96/a2/6c/11482a8018251c/US10709601-20200714-D00000.png
US-9875340-B2,Personalized pain management treatments ,Itrace Biomedical Inc.,Krishnamohan Sharma,2013-01-15,2016-02-01,2018-01-23,2018-01-23,https://patents.google.com/patent/US9875340B2/en,https://patentimages.storage.googleapis.com/f7/25/81/ecf202af490c34/US09875340-20180123-D00000.png
US-10179239-B2,Personalized pain management treatments ,Itrace Biomedical Inc.,Krishnamohan Sharma,2013-01-15,2016-03-24,2019-01-15,2019-01-15,https://patents.google.com/patent/US10179239B2/en,https://patentimages.storage.googleapis.com/66/67/4d/7e4344bd8367c1/US10179239-20190115-D00000.png
US-9134047-B2,"Systems, methods, and apparatus for cryogenic refrigeration ",D-Wave Systems Inc.,"Randall C. Black, Jeremy P. Hilton, Geordie Rose",2007-12-28,2013-04-15,2015-09-15,2015-09-15,https://patents.google.com/patent/US9134047B2/en,https://patentimages.storage.googleapis.com/d8/4b/83/ccfc86d8e0491c/US09134047-20150915-D00000.png
US-9223323-B2,User friendly interface for control unit ,Google Inc.,"Michael James MATAS, David Sloo, Michael PLITKINS, Anthony Michael Fadell, Matthew Lee Rogers, John Benjamin Filson, Brian Huppi, Fred Bould",2010-09-14,2011-02-23,2015-12-29,2015-12-29,https://patents.google.com/patent/US9223323B2/en,https://patentimages.storage.googleapis.com/2f/5f/79/0b461c1eab79f4/US09223323-20151229-D00000.png
US-11397031-B2,Electrocaloric cooling with electrostatic actuation ,"The Regents Of The University Of California, Sri International","Qibing Pei, Rujun MA, Ziyang Zhang, Roy Kornbluh, David Huber",2017-05-05,2018-05-07,2022-07-26,2022-07-26,https://patents.google.com/patent/US11397031B2/en,https://patentimages.storage.googleapis.com/33/53/40/a39d6995769b95/US11397031-20220726-D00000.png
US-9358138-B2,Polymeric prosthetic devices with heat control capabilities ,The Ohio Willow Wood Company,"Christopher T. Kelley, Michael L. Haynes",2012-07-23,2013-12-18,2016-06-07,2016-06-07,https://patents.google.com/patent/US9358138B2/en,https://patentimages.storage.googleapis.com/51/c2/35/d497d7f7b57398/US09358138-20160607-D00000.png
US-10678416-B2,Occupancy-based operating state determinations for sensing or control systems ,Google Llc,"Anthony Fadell, Matthew Rogers, Edwin Satterthwaite, Ian Smith, Daniel Warren, Joseph Palmer, Shigefumi Honjo, Grant Erickson, Jonathan Dutra, Hugo Fiennes",2011-10-21,2017-08-18,2020-06-09,2020-06-09,https://patents.google.com/patent/US10678416B2/en,https://patentimages.storage.googleapis.com/39/70/71/6973d966502ef1/US10678416-20200609-D00000.png
US-8703201-B2,"Hyperpolarization methods, systems and compositions ",Millikelvin Technologies Llc,"Avrum Belzer, Neal Kalechofsky",2006-02-21,2011-12-22,2014-04-22,2014-04-22,https://patents.google.com/patent/US8703201B2/en,https://patentimages.storage.googleapis.com/fc/3e/44/246d284f9cc176/US08703201-20140422-D00001.png
US-8566962-B2,PWM heating system for eye shield ,David McCulloch,Jack C. Cornelius,2012-02-16,2012-02-16,2013-10-29,2013-10-29,https://patents.google.com/patent/US8566962B2/en,https://patentimages.storage.googleapis.com/c2/31/b0/78b4f81d79bb88/US08566962-20131029-D00000.png
US-7703300-B2,Pulse systems and methods for detaching ice ,The Trustees Of Dartmouth College,Victor Petrenko,2004-06-22,2005-06-22,2010-04-27,2010-04-27,https://patents.google.com/patent/US7703300B2/en,https://patentimages.storage.googleapis.com/8c/37/e2/2399c4123ad7da/US07703300-20100427-D00000.png
US-11230656-B2,Use of barocaloric materials and barocaloric devices ,"Cambridge Enterprise Limited, Universitat Politécnica de Catalunya, Universitat De Barcelona","Javier Eduardo Moya Raposo, Alexander Avramenko, Lluís Manosa Carrera, Josep Lluís Tamarit Mur, Pol Marcel Lloveras Muntané",2016-10-14,2017-10-13,2022-01-25,2022-01-25,https://patents.google.com/patent/US11230656B2/en,https://patentimages.storage.googleapis.com/16/33/41/3197e88df6b2e2/US11230656-20220125-D00000.png
US-8554376-B1,Intelligent controller for an environmental control system ,"Nest Labs, Inc","Yoky Matsuoka, Joseph Ruff, Mark Malhotra",2012-09-30,2012-09-30,2013-10-08,2013-10-08,https://patents.google.com/patent/US8554376B1/en,https://patentimages.storage.googleapis.com/40/dd/75/679186afb4f4fb/US08554376-20131008-D00000.png
US-8972065-B2,Distribution of call-home events over time to ameliorate high communications and computation peaks in intelligent control system ,Google Inc.,"Yoky Matsuoka, Steven A. Hales, IV",2012-04-05,2012-04-05,2015-03-03,2015-03-03,https://patents.google.com/patent/US8972065B2/en,https://patentimages.storage.googleapis.com/28/11/03/5157f63f2e923c/US08972065-20150303-D00000.png
US-9417637-B2,"Background schedule simulations in an intelligent, network-connected thermostat ",Google Inc.,"Yoky Matsuoka, Mark Malhotra",2010-12-31,2013-03-14,2016-08-16,2016-08-16,https://patents.google.com/patent/US9417637B2/en,https://patentimages.storage.googleapis.com/81/2f/fb/569ea9e1df1e53/US09417637-20160816-D00000.png
US-9851728-B2,Inhibiting deleterious control coupling in an enclosure having multiple HVAC regions ,Google Inc.,"Yoky Matsuoka, Rangoli SHARAN, Michael Anthony Fadell, Matthew Lee Rogers",2010-12-31,2012-01-03,2017-12-26,2017-12-26,https://patents.google.com/patent/US9851728B2/en,https://patentimages.storage.googleapis.com/87/73/f3/8a5afd19bf2938/US09851728-20171226-D00000.png
