search URL:,https://patents.google.com/?q=%28%22magnetic+anisotropy%22%29+%28%22superconducting+magnet%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH&oq=%28%22magnetic+anisotropy%22%29+%28%22superconducting+magnet%22%29+country:US+status:GRANT+language:ENGLISH+type:PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7189778-B2,Thermally conductive polymer molded article and method for producing the same ,"Polymatech Co., Ltd.","Masayuki Tobita, Naoyuki Shimoyama, Tsukasa Ishigaki, Toru Kimura",2002-07-22,2003-07-21,2007-03-13,2007-03-13,https://patents.google.com/patent/US7189778B2/en,https://patentimages.storage.googleapis.com/ea/7d/42/7b4f7a105a0a2a/US07189778-20070313-D00000.png
US-6879012-B2,Giant planar hall effect in epitaxial ferromagnetic semiconductor devices ,"The Regents Of The University Of California, California Institute Of Technology","Hongxing Tang, Michael L. Roukes, Roland K. Kawakami, David D. Awschalom",2002-06-21,2003-06-23,2005-04-12,2005-04-12,https://patents.google.com/patent/US6879012B2/en,https://patentimages.storage.googleapis.com/fb/1e/11/65db7f0376bc7d/US06879012-20050412-D00000.png
US-8632723-B2,"Manufacturing method for preferentially-oriented oxide ceramics, preferentially-oriented oxide ceramics, piezoelectric element, liquid discharge head, ultrasonic motor, and dust removing device ","Canon Kabushiki Kaisha, University Of Yamanashi","Takayuki Watanabe, Makoto Kubota, Jumpei Hayashi, Nobuhiro Kumada, Tomoaki Mochiduki",2010-02-10,2011-02-08,2014-01-21,2014-01-21,https://patents.google.com/patent/US8632723B2/en,https://patentimages.storage.googleapis.com/b9/7b/96/8b351e5a763c7e/US08632723-20140121-D00000.png
US-9082976-B2,"Piezoelectric ceramics, manufacturing method for piezoelectric ceramics, piezoelectric element, liquid discharge head, liquid discharge apparatus, ultrasonic motor, optical apparatus, vibration generator, dust removing device, imaging apparatus, and electronic apparatus ","Canon Kabushiki Kaisha, University Of Yamanashi","Makoto Kubota, Takayuki Watanabe, Hisato Yabuta, Jumpei Hayashi, Nobuhiro Kumada, Satoshi Wada",2011-09-06,2012-08-30,2015-07-14,2015-07-14,https://patents.google.com/patent/US9082976B2/en,https://patentimages.storage.googleapis.com/8d/1f/24/46d1dea5530e6a/US09082976-20150714-D00000.png
US-7482042-B2,Film forming method and film forming apparatus ,Fujifilm Corporation,Atsushi Osawa,2004-09-29,2005-09-27,2009-01-27,2009-01-27,https://patents.google.com/patent/US7482042B2/en,https://patentimages.storage.googleapis.com/49/12/af/b546b47dc18003/US07482042-20090127-D00000.png
US-8702885-B2,Method of manufacturing ceramics and piezoelectric material ,"Canon Kabushiki Kaisha, University Of Yamanashi","Takanori Matsuda, Tatsuo Furuta, Takayuki Watanabe, Jumpei Hayashi, Nobuhiro Kumada",2010-04-27,2011-04-15,2014-04-22,2014-04-22,https://patents.google.com/patent/US8702885B2/en,https://patentimages.storage.googleapis.com/4b/85/6a/c3a8d7f01056a7/US08702885-20140422-D00000.png
US-11610829-B2,Heat-conductive sheet ,"Sekisui Polymatech Co., Ltd.",Shigeru Koyano,2018-02-14,2019-02-14,2023-03-21,2023-03-21,https://patents.google.com/patent/US11610829B2/en,https://patentimages.storage.googleapis.com/36/0e/07/86fc049dcf1732/US11610829-20230321-D00000.png
US-11541580-B2,Method for preparing compact of resin compound having anisotropy ,"Niigata University, Shin-Etsu Chemical Co., Ltd.","Tetsuo Oka, Yoshinori Takamatsu, Takeshi Fukuda",2018-04-27,2019-04-26,2023-01-03,2023-01-03,https://patents.google.com/patent/US11541580B2/en,https://patentimages.storage.googleapis.com/2d/e0/11/a638c238732f7c/US11541580-20230103-D00000.png
US-11735359-B2,Production of permanent magnets using electrophoretic deposition ,"Lawrence Livermore National Security, Llc","Scott K. McCall, Sarah Baker, Joshua Kuntz, Jonathan R. I. Lee, Christine A. Orme, Marcus A. Worsley, Alexander A. Baker, Matthew A. Worthington",2018-06-27,2018-06-27,2023-08-22,2023-08-22,https://patents.google.com/patent/US11735359B2/en,https://patentimages.storage.googleapis.com/20/c1/98/0678f1ffa4c0bf/US11735359-20230822-D00000.png
US-7569520-B2,Metal sheath magnesium diboride superconducting wire and its manufacturing method ,"Hitachi, Ltd.","Kazuhide Tanaka, Masaya Takahashi, Michiya Okada, Hiroaki Kumakura, Hitoshi Kitaguchi",2005-02-04,2006-02-03,2009-08-04,2009-08-04,https://patents.google.com/patent/US7569520B2/en,https://patentimages.storage.googleapis.com/59/47/0a/ee59a90a5ba134/US07569520-20090804-D00000.png
US-10323168-B2,"Crystal oriented ceramicscrystal oriented ceramics, the production process, and heat radiation material ",Kanagawa Institute Of Industrial Science And Technology,"Takuma Takahashi, Junichi Tatami, Nanako Sugimoto",2015-03-05,2016-03-04,2019-06-18,2019-06-18,https://patents.google.com/patent/US10323168B2/en,https://patentimages.storage.googleapis.com/aa/20/9c/38d64e6b3e0489/US10323168-20190618-D00000.png
US-11609208-B2,Devices and methods for molecule detection based on thermal stabilities of magnetic nanoparticles ,"Western Digital Technologies, Inc.","Patrick Braganca, Daniel Bedau",2019-04-12,2019-12-26,2023-03-21,2023-03-21,https://patents.google.com/patent/US11609208B2/en,https://patentimages.storage.googleapis.com/e8/45/e7/43f8b2ce66f815/US11609208-20230321-D00001.png
US-11646142-B2,Applied rotations of anisotropic homopolar magnetic domains ,"Smokey Hawk Solitons, Llc","Thomas Hunt Hawkins, David Hawkins",2018-12-07,2019-12-06,2023-05-09,2023-05-09,https://patents.google.com/patent/US11646142B2/en,https://patentimages.storage.googleapis.com/50/aa/15/ac228625493fbe/US11646142-20230509-D00000.png
US-10866485-B2,Magnetoelectric-based systems and methods for modulating terahertz beams ,"Board Of Regents, The University Of Texas System","Moumita Dutta, Ruyan Guo, Amar Bhalla, Soutik Betal",2018-04-16,2019-04-16,2020-12-15,2020-12-15,https://patents.google.com/patent/US10866485B2/en,https://patentimages.storage.googleapis.com/53/0d/e4/361d276dfa78ca/US10866485-20201215-D00000.png
US-11014813-B2,Room-temperature ferromagnetic-ferroelectric multiferroic material ,Council Of Scientific & Industrial Research,"Mousumi Sen, Pankaj Poddar",2015-11-17,2016-11-16,2021-05-25,2021-05-25,https://patents.google.com/patent/US11014813B2/en,https://patentimages.storage.googleapis.com/67/e8/f9/8055729e3bc0b2/US11014813-20210525-D00001.png
US-5331278-A,"Apparatus for inspecting degradation/damage of a material using an AC magnet, a superconducting DC magnet and a SQUID sensor ","Hitachi, Ltd.","Stephen Evanson, Satoshi Kanno, Masahiro Otaka, Toshihiko Yoshimura, Kunio Hasegawa, Kazuo Takaku",1990-09-11,1991-09-11,1994-07-19,1994-07-19,https://patents.google.com/patent/US5331278A/en,https://patentimages.storage.googleapis.com/47/5d/4a/07f89c86320300/US5331278-drawings-page-2.png
US-6761871-B2,Magnetic production of carbon nanotubes and filaments ,Reginald Bernard Little,Reginald Bernard Little,2001-05-22,2001-05-22,2004-07-13,2004-07-13,https://patents.google.com/patent/US6761871B2/en,https://patentimages.storage.googleapis.com/b6/de/24/a3185352091ea4/US06761871-20040713-D00001.png
US-5426716-A,Magnetically locatable non-metallic optical fiber cables ,At&T Corp.,"Candido J. Arroyo, Sungho Jin, Thomas T. M. Palstra",1994-03-31,1994-03-31,1995-06-20,1995-06-20,https://patents.google.com/patent/US5426716A/en,https://patentimages.storage.googleapis.com/ad/b8/32/ca95980a69f6a4/US5426716-drawings-page-2.png
