search URL:,https://patents.google.com/?q=%28%22vector+field%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11227395-B2,"Method and apparatus for determining motion vector field, device, storage medium and vehicle ","Apollo Intelligent Driving Technology (Beijing) Co., Ltd.","Yuanfan XIE, Liang Wang",2018-09-07,2019-09-06,2022-01-18,2022-01-18,https://patents.google.com/patent/US11227395B2/en,https://patentimages.storage.googleapis.com/ad/ea/27/31ab5cb258b215/US11227395-20220118-D00000.png
US-9545210-B2,Accurately indetifying critcal regions in atrial fibrillation by identifying rotors in directional similarity vector field ,"Yenn-Jiang Lin, Men-Tzung Lo","Men-Tzung Lo, Yenn-Jiang Lin, Huan-Yu Kuo, Yi-Chung Chang, Chen Lin, Hsiang-Chih Chang, Fa-Po Chung, Shih-Ann Chen",2012-07-26,2015-04-29,2017-01-17,2017-01-17,https://patents.google.com/patent/US9545210B2/en,https://patentimages.storage.googleapis.com/30/7f/61/2db62725108fa4/US09545210-20170117-D00000.png
US-10488236-B2,Velocity vector field mapping using electrical capacitance sensors ,"Tech4Imaging Llc, Ohio State Innovation Foundation","Qussai Marashdeh, Fernando Teixeira, Shah Chowdhury",2016-02-23,2016-02-23,2019-11-26,2019-11-26,https://patents.google.com/patent/US10488236B2/en,https://patentimages.storage.googleapis.com/88/6a/ca/3c6dd12c072579/US10488236-20191126-D00000.png
US-9636074-B2,Calculating the motion vector field for a reconstructed CT scan image ,"Shenyang Neusoft Medical Systems Co., Ltd.","Shanshan Lou, Han Zheng",2014-10-21,2015-10-21,2017-05-02,2017-05-02,https://patents.google.com/patent/US9636074B2/en,https://patentimages.storage.googleapis.com/40/e4/30/7f8b7394123b53/US09636074-20170502-D00000.png
US-10648812-B2,Method for filtering the signals arising from a sensor assembly comprising at least one sensor for measuring a vector physical field which is substantially constant over time and in space in a reference frame ,Movea,Joe Youssef,2016-02-29,2017-02-28,2020-05-12,2020-05-12,https://patents.google.com/patent/US10648812B2/en,https://patentimages.storage.googleapis.com/44/12/2e/2fb42fd281ad0b/US10648812-20200512-D00000.png
US-8565313-B2,Determining a vector field for an intermediate image ,"Entropic Communications, Inc.","Markus Schu, Peter Rieder, Kilian Jacob, Mark-Oliver Richter, Karsten Roscher",2009-06-16,2010-06-11,2013-10-22,2013-10-22,https://patents.google.com/patent/US8565313B2/en,https://patentimages.storage.googleapis.com/82/f2/21/83d1eb86111327/US08565313-20131022-D00000.png
US-8855419-B2,Image rectification using an orientation vector field ,Eastman Kodak Company,"Hao Wu, Kevin Edward Spaulding",2012-11-20,2012-11-20,2014-10-07,2014-10-07,https://patents.google.com/patent/US8855419B2/en,https://patentimages.storage.googleapis.com/6a/19/b1/1c655bbede6a5d/US08855419-20141007-D00000.png
US-10393827-B2,Magnetic field vector imaging array ,Texas Tech University System,"Shelby Lacouture, Argenis Bilbao, Stephen Bayne",2016-06-03,2017-06-02,2019-08-27,2019-08-27,https://patents.google.com/patent/US10393827B2/en,https://patentimages.storage.googleapis.com/1c/57/d4/2584f2e7acc997/US10393827-20190827-D00000.png
US-9583113-B2,Audio compression using vector field normalization ,Lenovo (Singapore) Pte. Ltd.,Robert J. Kapinos,2015-03-31,2015-03-31,2017-02-28,2017-02-28,https://patents.google.com/patent/US9583113B2/en,https://patentimages.storage.googleapis.com/51/17/be/6600488c56d721/US09583113-20170228-D00000.png
US-9939257-B2,Method for determining a spatial displacement vector field ,Lavision Gmbh,Bernhard Wieneke,2014-06-19,2015-06-17,2018-04-10,2018-04-10,https://patents.google.com/patent/US9939257B2/en,https://patentimages.storage.googleapis.com/17/c4/fd/4ab3ff9db16e0e/US09939257-20180410-D00000.png
